3.252438228545362353e+00,3.306938547961037589e+00
3.857309239416659707e+00,3.924745591800991917e+00
3.000283699886475919e+00,3.084446647239541761e+00
3.634424855276369382e+00,3.653063389743825606e+00
4.510187602527225614e+00,4.528786808492732519e+00
2.448788894027909446e+00,2.653828707968718170e+00
4.382158573763547338e+00,4.472273993369640266e+00
3.942061267378999645e+00,4.038153241339252020e+00
4.810243257775990600e+00,4.888239353937656517e+00
7.926274375972878206e-01,9.094013456464400402e-01
